"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","10.40","10.66","10.86","10.28","519.40K","-1.79%"
"07/18/2023","10.59","10.96","11.05","10.53","660.25K","-3.55%"
"07/17/2023","10.98","9.80","11.39","9.51","1.67M","16.31%"
"07/14/2023","9.44","9.36","9.59","9.12","589.99K","0.53%"
"07/13/2023","9.39","9.65","9.77","9.37","336.45K","-2.39%"
"07/12/2023","9.62","9.50","9.96","9.34","697.44K","3.44%"
"07/11/2023","9.30","9.69","9.70","9.20","692.42K","-4.12%"
"07/10/2023","9.70","9.30","9.70","9.15","851.12K","4.86%"
"07/07/2023","9.25","9.34","9.56","9.22","724.78K","-0.54%"
"07/06/2023","9.30","9.11","9.58","8.94","1.09M","0.11%"
"07/05/2023","9.29","8.78","9.38","8.72","851.79K","6.17%"
"07/03/2023","8.75","9.54","9.67","8.69","707.69K","-8.18%"
"06/30/2023","9.53","8.39","9.88","8.27","1.78M","14.41%"
"06/29/2023","8.33","8.77","8.77","8.25","2.02M","-3.36%"
"06/28/2023","8.62","8.50","8.63","8.30","915.90K","1.77%"
"06/27/2023","8.47","8.70","8.70","8.11","988.51K","-0.88%"
"06/26/2023","8.55","8.72","8.74","8.31","799.97K","-2.68%"
"06/23/2023","8.78","9.19","9.20","8.27","2.53M","-5.39%"
"06/22/2023","9.28","9.62","9.97","9.26","1.12M","-3.93%"
"06/21/2023","9.66","9.34","9.80","8.97","1.22M","2.33%"
"06/20/2023","9.44","9.55","9.87","9.00","1.43M","-1.56%"
"06/16/2023","9.59","10.39","10.39","9.28","5.66M","-6.16%"
"06/15/2023","10.22","10.57","10.76","10.08","1.08M","-4.40%"
